,medical_abstract,condition_name,abstract_token_count
29,"Acute lower respiratory tract infection due to virus among hospitalized children in Dhaka, Bangladesh. The nature of acute lower respiratory tract infection (ALRI) in hospitalized children and of the associated viral agents was assessed in a study of 601 children less than 5 years old over a 24-month period. Of these children, 80% were less than 24 months of age and the ratio of boys to girls was 1.7:1. Pneumonia (86.5% of cases) was the most frequently observed clinical manifestation. Shedding of virus was detected in 21.1% of the children; the highest rate occurred in infants 0-5 months old (27%) as compared with a rate of only 12.5% in children 25-60 months old. Virus was detected in 33.3%, 32.8%, 21.2%, and 20% of the cases of tracheobronchitis, bronchiolitis, pneumonia, and croup, respectively. Among the viruses detected, 78% were respiratory syncytial virus (RSV) (91% of infections with this virus occurred in children less than 2 years old) and 14.4% were influenza virus types A and B. Of the RSV infections, 61% occurred in infants less than 1 year old. The case-fatality rate was 6.8% overall and was 4.8% in virus-associated cases. No consistent pattern of seasonal occurrence of viral infections was discerned. RSV was detected throughout the year, with increased prevalence from January to April. ",general pathological conditions,263
30,"Endocrine function in children with human immunodeficiency virus infection. We sought to determine if failure to thrive in pediatric patients with the human immunodeficiency virus could be explained based on endocrine dysfunction. Fourteen human immunodeficiency virus-infected pediatric patients, all of whom had adequate nutritional status, underwent endocrine evaluation. Growth hormone and cortisol responses to glucagon stimulation were adequate. Despite this, eight of the 12 subjects had low somatomedin C levels. Although all patients were clinically and biochemically euthyroid, 36% (5/14) demonstrated elevated baseline and peak thyrotropin levels in response to thyroid releasing hormone, suggesting a state of compensated hypothyroidism. Although the importance of these findings is unclear, it is possible that subtle alterations of thyroid regulation may contribute to failure to thrive in some pediatric patients infected with human immunodeficiency virus and may represent a potentially correctable defect. ",general pathological conditions,154
31,"Leukaemia complicating treatment for Hodgkin's disease: the experience of the British National Lymphoma Investigation. OBJECTIVE--To determine the incidence of and risk factors for the development of secondary acute leukaemia and myelodysplasia in patients treated in British National Lymphoma Investigation's studies of Hodgkin's disease since 1970. PATIENTS--2676 Patients entered into Hodgkin's disease studies between February 1970 and November 1986. Data accrued up to November 1988 were analysed, ensuring a minimum follow up period of two years. DESIGN--Retrospective analysis of multicentre trial data by case-control and life table methods. RESULTS--17 Cases of secondary leukaemia were recorded in this group of 2676 patients, giving an overall risk at 15 years of 1.7%. The risks of leukaemia after chemotherapy alone and chemotherapy with radiotherapy were not significantly different. The risk of leukaemia increased sharply with the amount of treatment given as measured by the number of attempts at treatment. The 15 year risks of leukaemia were 0.2%, 2.3%, and 8.1% for patients receiving one, two, or three or more attempts at treatment. The highest risk, 22.8% at 15 years, was observed in patients treated with lomustine (CCNU), and a case-control study suggested that this was an independent risk factor. The risk of secondary leukaemia was largely related to the overall quantity of treatment, although exposure to lomustine seemed to be an important risk factor. Treatment with both drugs and radiation was not more leukaemogenic than treatment with drugs alone. The greatest risk of secondary leukaemia was seen in multiply treated patients who were unlikely to be cured of Hodgkin's disease. CONCLUSIONS--Avoidance of secondary leukaemia should be a minor factor in the choice of treatment for Hodgkin's disease. ",general pathological conditions,321
32,"Extensive vulvar and vaginal varicella necessitating abdominal delivery. Maternal varicella occurs in fewer than five per 10,000 pregnancies in the United States. A case is reported in which markedly painful, extensive vulvar and vaginal ulcers prevented cervical examination, and cesarean section was performed with the patient under general anesthesia. ",general pathological conditions,54
33,"Tissue dose estimates following the selective uptake of 125IUdR and other radiolabelled thymidine precursors in resistant tumours. For the purposes of evaluation of the therapeutic potential of the radiohalogenated thymidine analogue 125IUdR, estimation of the radiation dose to the tumour cells and normal tissues is important. To determine the dose to any tissue from the radionuclide 125I is not simple, since the major emissions are very short-range Auger electrons. The cytotoxicity of 125I is strongly dependent on the position of the decay relative to the DNA, the principal target for cell sterilization. Estimates of the cytotoxicity of 125I based on the traditional MIRD recommended formulation (ICRU Report 32, 1979) may produce gross underestimates if it is incorporated into the DNA via the thymidine precursor 125IUdR. In this work, tissue count and autoradiography (ARG) data from studies by Bagshawe et al were used to estimate tissue doses following the administration of 125IUdR to LS174/T (a colorectal carcinoma) and CC3 (a choriocarcinoma) tumour-bearing animals, after a hydroxyurea block of the normal tissue turnover. The tumour cell toxicity is estimated from ARG data on the degree of 125I incorporation into the cell nucleus. Major drawbacks with 125I for this type of therapy are the long 60-day half-life, leading to radiological and waste disposal problems and the extreme short range of the radiotoxic effects. Possible alternative radiohalogens, 13I, 77Br, 131I and 211At, are suggested in place of 125I in the thymidine analog iododeoxyuridine. Dose calculations are performed and cytotoxicities estimated on the assumption that their biological retention characteristics are the same as for 125IUdR. ",neoplasms,289
34,"Combined vesicovaginal-ureterovaginal fistulas associated with a vaginal foreign body. A case is presented of vesicovaginal-ureterovaginal fistulas associated with a neglected vaginal foreign body. The patient complained of a foul-smelling vaginal discharge and was found to have a 4-cm hard vaginal mass on examination. Urinary incontinence developed subsequently. Examination under anesthesia was performed, and an aerosol deodorant cap was operatively removed from her posterior vagina/perirectal space. Subsequent work-up demonstrated the presence of both a vesicovaginal fistula and a right ureterovaginal fistula. The patient underwent a combined vaginal repair of the vesicovaginal fistula and abdominal ureteroneocystostomy. The frequency, types, etiology, and treatment of genitourinary fistulas are reviewed with particular attention to those associated with a vaginal foreign body. ",general pathological conditions,128
35,"Epidural anaesthesia for labour and caesarean section in a parturient with a single ventricle and transposition of the great arteries. We describe a case of a 29-year-old parturient with a single ventricle and transposition of the great arteries who had lumbar epidural analgesia/anaesthesia with a local anaesthetic for labour, emergency Caesarean section and postoperative pain. Her outcome and that of her baby was successful. The anaesthetic techniques used in other parturients with similar congenital cardiac anomalies are reviewed. ",general pathological conditions,83
36,"A prospective analysis of intramuscular meperidine, promethazine, and chlorpromazine in pediatric emergency department patients. STUDY OBJECTIVE: To examine physiologic responses and efficacy of 2, 1, and 1 mg/kg IM meperidine, promethazine, and chlorpromazine (MPC), respectively, in children. DESIGN: Prospective, unblinded trial. SETTING: A university and community emergency department. PATIENTS: Sixty-three hemodynamically and neurologically stable children. INTERVENTION: Single dose of IM MPC. MEASUREMENTS AND MAIN RESULTS: Serial respirations, heart rate, arterial systolic blood pressure, oxygen saturation, and Glasgow Coma Scale were measured at 30-minute intervals. Effectiveness was assessed by two independent observers using separate visual analog scales for cooperation and sedation. Times to sleep (27 +/- 24 minutes), sitting upright (103 +/- 87 minutes), ED discharge (4.7 +/- 2.4 hours), eating (11 +/- 7.9 hours), and normal behavior (19 +/- 15 hours) were acceptable. Minor, but statistically significant, changes in respiration rate (-1.9 +/- 0.4), heart rate (+4.5 +/- 1.8), oxygen saturation (-0.7 +/- 0.3%), and Glasgow Coma Scale (-2.5 +/- 0.6) occurred for 120 minutes after MPC. No serious complications or resuscitation were required. Mean visual analog scale scores were 5.0/10.4 or more in 71% of cases, with interobserver agreement very good (cooperation, r = .79; effectiveness, r = .80). Twenty-nine percent of children were judged insufficiently sedated. CONCLUSION: IM MPC is a safe and generally effective agent for ED procedures in selected children. ",general pathological conditions,295
37,"Teniposide (VM-26) and continuous infusion cytosine arabinoside for initial induction failure in childhood acute lymphoblastic leukemia. A Pediatric Oncology Group pilot study. Twenty-six evaluable children with newly diagnosed acute lymphoblastic leukemia (ALL) who failed to achieve initial remission after receiving two to seven drugs for at least a 4-week period were given teniposide (VM-26) and continuous infusion cytosine arabinoside (Ara-C). Twenty-two received 150 mg/m2 of VM-26 on days 1 and 2 with 100 mg/2 of Ara-C as a continuous infusion on days 1 through 5; a second shortened course was given on day 14 to eight patients who had evidence of some antileukemic effect or were clinically judged able to tolerate a second course. The last four patients received three daily doses of VM-26 and a 7-day infusion of Ara-C at the same daily dosages. Twelve (48%) achieved complete remission (CR) of ALL. There was a trend toward decreasing response rates with an increasing number of drugs used in the initial induction regimen, i.e., five CR among seven patients with a prior two-drug induction attempt, six CR among 14 patients with a prior three- to four-drug induction attempt, and one CR among four patients with a prior five- to seven-drug induction attempt (P = 0.14). Ten of 17 non-T-cell patients and two of nine T-cell patients achieved remission (P = 0.10). The median time required to achieve a complete remission from the initiation of treatment was 26 days (range, 14-72 days). This period was shorter in those who required one course compared with those who required two induction courses, i.e., 25 days median vs. 44 days median. Toxicity was significant and due mainly to marrow aplasia and infection; one patient had severe prolonged VM-26-induced hypotension. Of the 12 patients entering remission, two were removed for marrow transplant and one was removed due to parental request. In the remaining nine patients, median remission duration was only 2 months (range, 1-18 months). All nine patients relapsed in the marrow. Among the entire group of 26 patients, only one patient is alive and a long-term event-free survivor (after allogeneic marrow transplant). Due to the current use of more aggressive initial induction regimens and the extremely poor prognosis in children who fail to achieve initial remission, more intensive regimens of continuation therapy or alternative therapies, such as bone marrow transplant, should be considered. ",neoplasms,444
38,"Increase of calmodulin activator in hypertension. Modulation by dietary sodium and calcium. The aim of this study was to investigate the effects of dietary calcium and sodium on blood pressure (BP) in normotensive rats (Wistar, WKY), spontaneously hypertensive rats (SHR) and Dahl rats and on calmodulin (CaM) activator, a newly-discovered hydrophobic compound that increases CaM activity in SHR and spontaneously hypertensive mice (SHM) tissues (J Clin Invest 82:276, 1988). The CaM activator was assessed by its capacity to stimulate a CaM-dependent phosphodiesterase (CaM-PDE). In Wistar rats, which were fed a high sodium diet (3.5%), BP significantly increased (P less than .01) from 106 +/- 4 to 128 +/- 8 mm Hg in parallel to an elevation of the CaM activator from 1.57 +/- 0.14 to 2.80 +/- 0.18 U. WKY, SHR, and Dahl salt-sensitive (DS/JR) and salt-resistant (DR/JR) rats were given low (0.15%) or high (2.5%) Ca diets, both with 1% sodium. In rats receiving high dietary Ca the progression of hypertension diminished and BP was lower in SHR (156 +/- 4 mm Hg) and young DS/JR rats (125 +/- 3 mm Hg) than in those receiving low dietary Ca (192 +/- 10 and 183 +/- 2 mm Hg). There was a concomitant decrease of CaM activator in these animals to levels indistinguishable from those of WKY or DR/JR rats. The activator was also found in the heart, kidneys and erythrocytes from SHM. In the presence of exogenously added CaM, lipidic extracts from the SHM heart showed augmented CaM-PDE activity relative to normotensive preparations. This difference was eliminated by trifluoperazine. ",cardiovascular diseases,317
39,"Serum cholesterol levels and survival in elderly hypertensive patients: analysis of data from the European Working Party on High Blood Pressure in the Elderly. The relation between serum cholesterol and mortality was investigated in 822 elderly hypertensive patients randomly assigned to treatment with diuretics, with or without methyldopa, or placebo. Cox's proportional hazards model showed that pretreatment serum total cholesterol levels were independently and inversely correlated with total mortality (p = 0.03), noncardiovascular mortality (p = 0.02), and cancer mortality (p = 0.04) during treatment. Total and noncardiovascular mortality were also negatively correlated with pretreatment hemoglobin levels and body weight. All factors being equal, an increase in total serum cholesterol of 2.3 mmol/L was associated with a one-year prolongation of survival. After adjustment for gender, age, pretreatment cardiovascular complications, and systolic pressure, the correlations between serum cholesterol and cardiovascular and cardiac mortality were not significant. ",cardiovascular diseases,168
40,"Pulmonary arterial and venous constriction during hypoxia in 3- to 5-wk-old and adult ferrets. We have determined the sites of hypoxic vasoconstriction in ferret lungs. Lungs of five 3- to 5-wk-old and five adult ferrets were isolated and perfused with blood. Blood flow was adjusted initially to keep pulmonary arterial pressure at 20 cmH2O and left atrial and airway pressures at 6 and 8 cmH2O, respectively (zone 3). Once adjusted, flow was kept constant throughout the experiment. In each lung, pressures were measured in subpleural 20- to 50-microns-diam arterioles and venules with the micropipette servo-nulling method during normoxia (PO2 approximately 100 Torr) and hypoxia (PO2 less than 50 Torr). In normoxic adult ferret lungs, approximately 40% of total vascular resistance was in arteries, approximately 40% was in microvessels, and approximately 20% was in veins. With hypoxia, the total arteriovenous pressure drop increased by 68%. Arterial and venous pressure drops increased by 92 and 132%, respectively, with no change in microvascular pressure drop. In 3- to 5-wk-old ferret lungs, the vascular pressure profile during normoxia and the response to hypoxia were similar to those in adult lungs. We conclude that, in ferret lungs, arterial and venous resistances increase equally during hypoxia, resulting in increased microvascular pressures for fluid filtration. ",general pathological conditions,243
41,"P-31 spectroscopy study of response of superficial human tumors to therapy. Studies were performed to characterize phosphorus-31 magnetic resonance (MR) spectra obtained from 10 superficial human tumors outside the brain and to determine whether P-31 MR spectroscopy could allow detection of a response to therapy before a change in tumor size was measured. The ratio of phosphomonoester to adenosine triphosphate peak intensities (PME/ATP) was unusually large in all tumors studied. The average PME/ATP in lymphomas (1.8 +/- 0.5) was greater than in nonlymphoma cancers (1.1 +/- 0.15). The average PME/ATP for all tumors studied (1.4 +/- 0.5) was much greater than that of underlying skeletal muscle (0.23 +/- .09). Eight of the tumors were studied before and after therapy. Responders were distinguished from nonresponders on the basis of changes in tumor size. PME/ATP decreased during therapy in three lymphomas that responded to therapy. In an adenocarcinoma and Ewing sarcoma that did not respond to therapy, PME/ATP increased. PME/ATP remained constant in two squamous cell carcinomas that responded to therapy and decreased in one squamous cell carcinoma that decreased in size by 40% but was classified as a nonresponder. Changes in PME/ATP did not always parallel changes in tumor size during therapy. In two patients, a decrease in PME/ATP preceded a decrease in tumor size. In four patients, PME/ATP increased transiently during periods when tumor size remained constant. ",neoplasms,256
42,"Failure to detect human T-cell leukemia virus-related sequences in multiple sclerosis blood. We tested 11 patients with multiple sclerosis for the presence of human T-cell leukemia virus type I (HTLV-I)- or type II (HTLV-II)-related sequences. DNA from blood mononuclear cells was analyzed by the polymerase chain reaction utilizing three different oligonucleotide primer pairs. Two of these primer pairs detect sequences shared between HTLV-I and HTLV-II in either p24, gag protein, or in p21, env transmembrane protein. The third primer pair was synthesized based on regions in the pol gene where amino acid sequences are conserved between HTLV-I, HTLV-II, and the related bovine leukemia virus. The multiple sclerosis samples were consistently negative while appropriate control samples were positive. We conclude that viruses related to HTLV-I, HTLV-II, or bovine leukemia virus are not present in the blood of patients with multiple sclerosis and, therefore, that HTLV-bovine leukemia virus-related viruses are not likely to be involved in the pathogenesis of multiple sclerosis. ",nervous system diseases,181
43,"Psychological outcomes of different treatment policies in women with early breast cancer outside a clinical trial OBJECTIVES--To assess outside a clinical trial the psychological outcome of different treatment policies in women with early breast cancer who underwent either mastectomy or breast conservation surgery depending on the surgeon's opinion or the patient's choice. To determine whether the extent of psychiatric morbidity reported in women who underwent breast conservation surgery was associated with their participation in a randomised clinical trial. DESIGN--Prospective, multicentre study capitalising on individual and motivational differences among patients and the different management policies among surgeons for treating patients with early breast cancer. SETTING--12 District general hospitals, three London teaching hospitals, and four private hospitals. PATIENTS--269 Women under 75 with a probable diagnosis of stage I or II breast cancer who were referred to 22 different surgeons. INTERVENTIONS--Surgery and radiotherapy or adjuvant chemotherapy, or both, depending on the individual surgeon's stated preferences for managing early breast cancer. MAIN OUTCOME MEASURES--Anxiety and depression as assessed by standard methods two weeks, three months, and 12 months after surgery. RESULTS--Of the 269 women, 31 were treated by surgeons who favoured mastectomy, 120 by surgeons who favoured breast conservation, and 118 by surgeons who offered a choice of treatment. Sixty two of the women treated by surgeons who offered a choice were eligible to choose their surgery, and 43 of these chose breast conserving surgery. The incidences of anxiety, depression, and sexual dysfunction were high in all treatment groups. There were no significant differences in the incidences of anxiety and depression between women who underwent mastectomy and those who underwent lumpectomy. A significant effect of surgeon type on the incidence of depression was observed, with patients treated by surgeons who offered a choice showing less depression than those treated by other surgeons (p = 0.06). There was no significant difference in psychiatric morbidity between women treated by surgeons who offered a choice who were eligible to choose their treatment and those in the same group who were not able to choose. Most of the women (159/244) gave fear of cancer as their primary fear rather than fear of losing a breast. The overall incidences of psychiatric morbidity in women who underwent mastectomy and those who underwent lumpectomy were similar to those found in the Cancer Research Campaign breast conservation study. At 12 months 28% of women who underwent mastectomy in the present study were anxious compared with 26% in the earlier study, and 27% of women in the present study who underwent lumpectomy were anxious compared with 31% in the earlier study. In both the present and earlier study 21% of women who underwent mastectomy were depressed, and 19% of women who underwent lumpectomy in the present study were depressed compared with 27% in the earlier study.) CONCLUSIONS--There is still no evidence that women with early breast cancer who undergo breast conservation surgery have less psychiatric morbidity after treatment than those who undergo mastectomy. Women who surrender autonomy for decision making by agreeing to participate in randomised clinical trials do not experience any different psychological, sexual, or social problems from those women who are treated for breast cancer outside a clinical trial. ",neoplasms,596
44,"Partial laryngectomy after irradiation failure. Forty-three patients who had partial laryngectomies after radiotherapy were evaluated. Forty-two had failed irradiation for laryngeal carcinoma. Nine had supraglottic procedures, 3 endoscopic, and 31 vertical partial. Twelve (28%) required subsequent completion laryngectomy. Major complications included laryngeal stenosis in 1, incompetent laryngeal sphincters in 2, mucocutaneous fistulas in 3, and delayed deglutition in 3. Six patients had positive permanent section margins. In 5 of those, intraoperative frozen sections had been taken and were negative. Recurrent or persistent disease was eventually demonstrated in all patients with positive margins. The 2-year determinant disease-free survival rate for stage I and II disease was 85%. Three-year disease-free survival was 50% for stage III and IV disease. Partial laryngectomies, including supraglottic, can be done after irradiation failure with a high expectation of cure and acceptable morbidity. Immediate additional operation should be considered in patients with positive margins. ",neoplasms,173
45,"Regression of coronary atherosclerosis during treatment of familial hypercholesterolemia with combined drug regimens. We conducted a randomized, controlled trial in 72 patients with heterozygous familial hypercholesterolemia to test whether reducing plasma low-density lipoprotein levels by diet and combined drug regimens can induce regression of coronary lesions. Four hundred fifty-seven lesions were measured before and after a 26-month interval by computer-based quantitative angiography. The primary outcome variable was within-patient mean change in percent area stenosis. Mean low-density lipoprotein cholesterol levels decreased from 7.32 +/- 1.5 to 4.45 +/- 1.6 mmol/L. The mean change in percent area stenosis among controls was +0.80, indicating progression, while the mean change for the treatment group was -1.53, indicating regression (P = .039 by two-tailed t test for the difference between groups). Regression among women, analyzed separately, was also significant. The change in percent area stenosis was correlated with low-density lipoprotein levels on trial. We conclude that reduction of low-density lipoprotein cholesterol levels can induce regression of atherosclerotic lesions of the coronary arteries in patients with familial hypercholesterolemia. The anticipation of benefit from treatment applies to women and men alike. ",cardiovascular diseases,202
46,"Doxazosin in the treatment of mild or moderate essential hypertension: an echocardiographic study. Sixteen patients with mild or moderate essential hypertension received 1 to 8 mg/day of doxazosin (mean daily dose, 2.7 mg). Blood pressure reduction (supine and standing) was highly significant (p less than 0.001), and no significant changes in heart rate were observed. A significant reduction (p less than 0.01) in left ventricular mass was seen without a change in left ventricular systolic function. All side effects were mild, and only one patient withdrew from the study. ",cardiovascular diseases,106
47,"Should you cancel the operation when a child has an upper respiratory tract infection? Cancelling an operation when a child has an upper respiratory tract infection (URI) is not always feasible or practical. Yet we know very little about the additional risk posed by a URI occurring in a child undergoing anesthesia and surgery. Using a large prospectively collected pediatric anesthesia database, we studied 1283 children with a preoperative URI and 20,876 children without a URI. We found that children with a URI were two to seven times more likely to experience respiratory-related adverse events during the intraoperative, recovery room, and postoperative phases of their operative experience. Although these children also experienced significant disruptions in temperature regulation, they were not at risk for any other deleterious events. The elevation in risk after URI as compared with children without a URI was not explained by differences in age, physical status scores, surgical site, and emergency or elective status. However, if a child had a URI and had endotracheal anesthesia, the risk of a respiratory complication increased 11-fold (95% confidence intervals 6.8, 18.1). We conclude that the administration of general anesthesia to children with a URI is not benign and that these children require more observation/management in all perioperative phases of their surgical procedure. ",general pathological conditions,236
48,"A seromuscular stripping method to create a nipple valve without metal stapling for continent urinary reservoir. Urinary continence with a Kock or Mainz pouch is achieved by a nipple valve of the invaginated ileum which is usually fixed with metal staples. However, metal staples can cause various complications as a foreign body. The seromuscular stripping method, a new technique to create a nipple valve, was applied to 17 patients with bladder cancer in the construction of a continent urinary reservoir by the ileocolonic pouch (Mainz pouch). Metal staples were not used. The results were satisfactory except for 2 patients who became incontinent because of prolapse of the nipple in one and insufficient valve function due to ischemic change of the nipple valve in the other. Histology of the nipple valve from an autopsy case showed a good double layer nipple valve that functioned well to preserve continence. ",neoplasms,159
49,"Doppler echocardiographic assessment of changes in pulmonary artery pressure associated with vasodilating therapy in patients with congestive heart failure. Transpulmonic pressure gradient and pulmonary artery pressures can be estimated from the Doppler pulmonary regurgitant flow velocities by applying the simplified Bernoulli equation. In this study, continuous-wave Doppler echocardiography was used to assess changes in pulmonary regurgitant flow velocities associated with administration of vasodilators in 10 patients with congestive heart failure. M-Mode echocardiographic parameters such as left ventricular end-systolic and end-diastolic dimension and fractional shortening did not change with administration of vasodilators. Pulmonary regurgitant flow velocity at end diastole decreased from 1.9 +/- 0.6 to 1.3 +/- 0.3 m/sec (p less than 0.01), and Doppler-estimated transpulmonic pressure gradient at end diastole decreased from 16 +/- 11 to 8 +/- 4 mm Hg (p less than 0.01). Doppler-estimated transpulmonic pressure gradient at end diastole was compared with catheterization-determined pulmonary arterial end-diastolic pressure before and after administration of vasodilators in three patients, and there was a good agreement between these measurements. Thus noninvasive and sensitive assessment of the effect of vasodilators on pulmonary arterial end-diastolic pressure in patients with congestive heart failure is possible with continuous-wave Doppler echocardiographic measurement of pulmonary regurgitant flow velocities. ",cardiovascular diseases,215
50,Aberrant origin of the right coronary artery as a potential cause of sudden death: successful anatomical correction. A man with an aberrant right coronary artery and haemodynamically important prolapse of the mitral valve was successfully resuscitated. The aberrant right coronary artery was thought to be a possible cause of the cardiopulmonary arrest in this patient. Both lesions were corrected at a single operation. ,general pathological conditions,68
51,"Immunophenotypes in ""classical"" B-cell chronic lymphocytic leukemia. Correlation with normal cellular counterpart and clinical findings. This study evaluates the expression of a series of membrane antigens, normally expressed by B-lymphocytes of the lymphocytic mantle and marginal zone, in 90 selected cases of ""classical"" (mouse red blood cell-receptor+, CD20+, CD5+, surface immunoglobulin +/-) B-chronic lymphocytic leukemia (B-CLL) with the aim of contributing toward identifying the normal counterpart of B-CLL and any correlations between surface antigen pattern and certain clinical characteristics. Clustered (CD23, 25, 39, 40, 27, 1c, w75) and unclustered (NuB1, 7F7, KiB3) monoclonal antibodies (MoAb) were tested. Almost all cases showed high reactivity to CD23, 27, w75, 39, 40, and NuB1: expression of CD1c was very low and that of 7F7, KiB3, and CD25 was variable. The reactivity of 7F7 and KiB3 was strictly correlated, and they correlated individually with CD25. Results show that the most frequent B-CLL phenotype (CD19+, 5+, 23+, 27+, 39+, NuB1+, KiB3 +/-, 7F7 +/-, and CD25 +/-) corresponds to one or more cellular subsets in the mantle zone. No correlation was found between MoAb expression, surface immunoglobulin (SIg) class or type, clinical stage, disease activity, or age at diagnosis. The only difference (statistically borderline) was the expression of 7F7 and KiB3 (in young versus old patients). This suggests that modulations in the expression of surface antigens do not affect the clinical behavior of the disease. ",neoplasms,296
52,"Normal and leukemic hematopoietic cells manifest differential sensitivity to inhibitory effects of c-myb antisense oligodeoxynucleotides: an in vitro study relevant to bone marrow purging. The c-myb protooncogene is preferentially expressed in hematopoietic cells, and its encoded protein, Myb, is required for hematopoietic cell proliferation. To analyze the relative Myb dependence of normal and leukemic human hematopoietic progenitor cells, normal bone marrow cells, several types of leukemic blast cells, and 1:1 mixtures of normal and leukemic cells were cultured in the presence of c-myb sense or antisense oligodeoxynucleotides; cell viability and cloning efficiency were then assessed. c-myb sense oligomers had negligible effects on normal and leukemic cells. In contrast, c-myb antisense oligomers strongly inhibited or completely abolished clonogenic growth of a T-cell leukemia line, 78% (18 of 23) of primary acute myelogenous leukemia cases examined, and 4 of 5 primary chronic myelogenous leukemia (CML) cases in blast crisis. In three of the latter patients, polymerase chain reaction analysis of a 1:1 mixture of c-myb antisense-treated normal and CML cells revealed a complete absence of bcr-abl expression, suggesting that the CML clonogenic units had been completely eliminated from the cultures. At antisense doses that inhibited leukemic cell growth, normal hematopoietic progenitor cells survived. Thus, normal and leukemic hematopoietic cells show differential sensitivity to the toxic effects of c-myb antisense DNA. Perturbation of c-myb function with antisense oligodeoxynucleotides might eventually form the basis for a molecular approach to leukemia therapy, perhaps most immediately as ex vivo bone marrow purging agents. ",neoplasms,277
53,"Treatment of ventricular tachycardia induced cardiogenic shock by percoronary chemical ablation. Incessant ventricular arrhythmias pose an especially challenging therapeutic dilemma. We describe the successful treatment and follow-up of a patient with refractory ventricular tachycardia-induced cardiogenic shock with percoronary chemical ablation. After endocardial mapping was used to identify the ""tachycardia-related"" coronary artery, temporary termination of the arrhythmia with balloon occlusion and subselective intracoronary installation of iced saline as previously advocated was unsuccessful. This was probably due to a dual arterial blood supply to the arrhythmogenic focus. However, infusion of 2 cc ethanol (99%) permanently terminated the arrhythmia. Contrary to previous experience, ethanol-induced arrhythmia termination did not result in arterial occlusion, further supporting a direct toxic effect on the myocardium as its mode of action. Use of standard angioplasty balloon inflation prevents ""backwash"" of distally infused ethanol and more generalized cell death. The only complication of this procedure was temporary third-degree AV block, requiring permanent pacemaker implantation. ",cardiovascular diseases,176
54,"Cardiorespiratory effects of endoscopic esophageal variceal sclerotherapy. Endoscopic variceal sclerotherapy (EVS) is an effective means of controlling variceal hemorrhage, which develops as a consequence of portal hypertension. While esophageal perforation, ulceration, strictures, and mediastinitis are potential complications associated with this procedure, it is not clear whether isolated pleuropulmonary events such as pleuritis, pneumonitis, and adult respiratory distress syndrome are causally related to the EVS. Endoscopy and sedation with the attendant risk of aspiration, particularly in the background of hepatic encephalopathy, may account for some of these events. Recent controlled studies of respiratory function demonstrate that EVS as such results in minor changes in gas exchange, lung volumes, and pulmonary and systemic hemodynamics. Most pulmonary complications have been reported with the use of sodium morrhuate sclerosant. Comparative studies among different sclerosants are necessary to evaluate relative safety. Finally, there have been rare reports of myocardial ischemia and pericarditis reported in association with EVS, but these are of a transient nature. Chest symptoms, roentgenographic pleuropulmonary changes, pulmonary hemodynamics, and cardiac perturbations are transient and should not preclude offering EVS to patients with variceal hemorrhage. ",cardiovascular diseases,209
55,"Growth and spread of hepatocellular carcinoma. A review of 240 consecutive autopsy cases. All 240 consecutive cases of hepatocellular carcinoma (HCC) that underwent autopsy at the National Cancer Center Hospital (Tokyo, Japan) between September 1962 and August 1986 were reviewed. Among these cases, 162, for which photographs of cut surfaces of the primary tumors were available, were grossly classified using a combination of both Eggel's classification and our own into three major types, i.e., nodular, massive, and diffuse as described by Eggel (Eggel H, Beitr Pathol Anat 1901; 30:506-604), and three subgroups of nodular type, i.e., single nodular type (type 1), single nodular type with extranodular growth (type 2), and contiguous multinodular type (type 3) by our classification (Kanai T et al., Cancer 1987; 60:810-819). Seventy-eight cases were classified as nodular type, comprising seven cases of type 1, 61 cases of type 2, and ten cases of type 3. Sixty-seven and 17 cases were classified as massive and diffuse type, respectively. Of the 78 nodular-type tumors, 59 measured less than 10 cm, whereas 64 of 67 massive-type tumors were 10 cm or more in size. The incidence of intrahepatic and extrahepatic tumor spread of HCC was significantly higher for tumors measuring more than 5 cm. As to the relationship between macroscopic type and tumor spread, the frequency of spread was lowest for type 1 tumors, and high for the other types. Intrahepatic metastasis was detected in 28.6% of type 1, 93.4% of type 2, 100% of type 3, and 98.5% of massive-type tumors. Lymph node metastasis was detected in 14.3% of type 1, 24.6% of type 2, 70% of type 3, 38.8% of massive-type and 52.9% of diffuse-type tumors. Hematogenous extrahepatic metastasis was detected in 14.3% of type 1, 47.5% of type 2, 70% of type 3, 74.6% of massive-type and 82.4% of diffuse-type tumors. It appears that not only primary tumor size but also its macroscopic type has an important influence on the growth and spread of HCC. ",neoplasms,405
56,"Effect of exposure of miners to aluminium powder. 'McIntyre Powder' (finely ground aluminium and aluminium oxide) was used as a prophylactic agent against silicotic lung disease between 1944 and 1979 in mines in northern Ontario. To find out whether the practice produced neurotoxic effects a morbidity prevalence study was conducted between 1988 and 1989. There were no significant differences between exposed and non-exposed miners in reported diagnoses of neurological disorder; however, exposed miners performed less well than did unexposed workers on cognitive state examinations; also, the proportion of men with scores in the impaired range was greater in the exposed than non-exposed group. Likelihood of scores in the impaired range increased with duration of exposure. The findings are consistent with putative neurotoxicity of chronic aluminium exposure. ",general pathological conditions,139
57,Ampullary tumor caused by metastatic renal cell carcinoma. In this paper we report the case of a renal cell carcinoma (RCC) metastatic to the ampullary region. The patient presented with severe anemia due to blood loss from the ampullary tumor 11 years after nephrectomy for the primary renal cancer. The diagnosis was established by means of endoscopy and biopsy. ,neoplasms,65
