,Text,Label
26231,"The patient recovered with intensive supportive management including broad-spectrum antibiotics, bowel rest with gastric intubation and intravenous gamma-globulin.",Not ADE-related
26232,"In adverse reactions with shock, tripled tryptase values can support a diagnosis of anaphylaxis.",Not ADE-related
26233,"We then review case reports, expert opinion, and manufacturer recommendations regarding hepatitis B viral infection, TNF-alpha, and TNF-alpha inhibitors.",Not ADE-related
26234,"With treatment, the serum CBZ concentration declined, and the EEG became more continuous and rhythmic without epileptiform discharges.",Not ADE-related
26235,STUDY DESIGN: Case report.,Not ADE-related
26236,These adverse reactions were recognized early and the appropriate treatment of agranulocytosis resulted in complete recovery in both cases.,Not ADE-related
26237,Nocardiosis after corticosteroid therapy for malignant thymoma.,Not ADE-related
26238,We report our conventional magnetic resonance and diffusion-weighted imaging findings and briefly discuss the pathophysiology of the syndrome.,Not ADE-related
26239,Reactivation of sarcoidosis during interferon therapy.,Not ADE-related
26240,Her condition has improved with progesterone therapy.,Not ADE-related
26241,Local administration of corticosteroids for rheumatic diseases have had a long history of effective and well-tolerated use.,Not ADE-related
26242,This report describes a patient who developed pulmonary leukostasis in the absence of significant leukocytosis.,Not ADE-related
26243,"Three possibilities existed to account for this outbreak: the positive cultures represented isolated events; there was one isolated event and a common source; or, all events were due to a common source.",Not ADE-related
26244,We also provide a literature review regarding thionamide-induced ANCA-associated vasculitis.,Not ADE-related
26245,"Six days after she received a prescription for a 5-day course of azithromycin, her INR was 15.16.",Not ADE-related
26246,An appointment was made for the patient but he did not attend.,Not ADE-related
26247,"For patients on chronic maintenance PD who receive gadolinium, our case suggests that a temporary intensive automated PD regimen, aimed at maximizing clearance of this contrast agent immediately after exposure, could be an effective alternative when institution of HD is problematic.",Not ADE-related
26248,"In animals AmB incorporated into liposomes is highly effective against experimental leishmaniasis, with low toxicity.",Not ADE-related
26249,"As the use of this drug for off-label indications and in pediatric populations increases, it is important for clinicians to better understand the drug's pharmacokinetic profile in these patient populations.",Not ADE-related
26250,"Interventional pain management is an evolving field, with a primary focus on the safety of the patient.",Not ADE-related
26251,Monocomponent porcine insulin was injected into each quadrant of the pit.,Not ADE-related
26252,"The increasing use of this agent is expected, because of the increasing number of patients with inflammatory bowel disease.",Not ADE-related
26253,Abnormal metabolism of valproic acid in fatal hepatic failure.,Not ADE-related
26254,A greater than 50% decrease in red cell transfusion requirement was observed in one patient with RA and one patient with AA.,Not ADE-related
26255,"The patient improved clinically, and 5 years later continues to do well.",Not ADE-related
26256,Two patients developed posterior subcapsular cataract.,Not ADE-related
26257,Clinicians are advised to observe for symptoms of toxicity and to do serial blood levels to monitor this interaction.,Not ADE-related
26258,Secondary pancreatic involvement by diffuse large B-cell lymphoma presenting as acute pancreatitis: treatment and outcome.,Not ADE-related
26259,"However, electron microscopy disclosed focal mesangial interposition, irregular thickening of the glomerular basement membrane and subendothelial loosening.",Not ADE-related
26260,Parkinson disease: an update.,Not ADE-related
26261,"The 171 patients were treated for a total of 4005 months, giving an incidence for severe infection of 3.30/100 patient-years (95% CI 1.65-5.90).",Not ADE-related
26262,This entity may considered in the differential diagnosis of acute onset of colicky abdominal pain in the patient given narcotics.,Not ADE-related
26263,Both patients developed granulocytopenia after multi-agent chemotherapy.,Not ADE-related
26264,"Due to refractory elevations of ICP, high-dose pentobarbital infusion was initiated, and ICP gradually normalised.",Not ADE-related
26265,"This event was caused by an erroneous switch with the 1% lidocaine/1:100,000 solution.",Not ADE-related
26266,Tumor response was determined by computed tomography scans obtained at the clinical discretion of the treating physicians.,Not ADE-related
26267,"It is critical to differentiate this from other potential causes of hemorrhage, such as an acute bleed from an anastomotic false aneurysm which is a surgical emergency.",Not ADE-related
26268,"Here we report on a patient with occult HBV infection, who developed HBV exacerbation after chemotherapy for diffuse large B-cell lymphoma.",Not ADE-related
26269,"Delayed immune reconstitution after SCT, such as cord blood and T-cell depleted SCT with the use of alemtuzumab, has been associated with an increased frequency of CMV disease as well as CMV reactivation.",Not ADE-related
26270,"However, he developed acute exacerbation of hepatitis due to HBV reactivation.",Not ADE-related
26271,The theophylline level was 9.89 micrograms/ml at the moment of psychotic reaction.,Not ADE-related
26272,The restrictive lung disease progressed despite cessation of sulfasalazine and initiation of corticosteroid therapy.,Not ADE-related
26273,"Owing to suspected acute myocardial infarction, the patient was treated with thrombolytic therapy but her condition deteriorated.",Not ADE-related
26274,A retrospective review of 4405 patients' charts identified 214 patients who initiated antimalarial therapy between January 1987 and April 1993 for different rheumatic disorders (mean duration of therapy of 17 months).,Not ADE-related
26275,CONCLUSION: This experience indicates that cetuximab can be continued in patients who experience infusion reactions.,Not ADE-related
26276,"After reviewing the current literature, we suggest that there is no dose of methadone that may be considered to be completely safe.",Not ADE-related
26277,The patient was reluctant to resume chemotherapy for his Hodgkin's disease because of his previous presumed skin infections.,Not ADE-related
26278,Coronary vasospasm resulting from a sudden autonomic response associated with an intracranial procedure was encountered during percutaneous radiofrequency trigeminal rhizotomy.,Not ADE-related
26279,"A repeat sodium was 124 mmol/L, and she was admitted.",Not ADE-related
26280,Four patients were neutropenic (less than 500/microliters).,Not ADE-related
26281,Additional predisposing factors were the patient's age and difficulty in urination due to benign prostatic hypertrophy.,Not ADE-related
26282,We studied the effect of ramipril on urinary protein excretion and arterial pressure in a 27-year-old patient with GSD Ia and heavy proteinuria (2-3 g /24 h).,Not ADE-related
26283,The authors report a case of a patient who developed an intracranial hemorrhage following thrombolytic therapy that required emergency surgical intervention.,Not ADE-related
26284,These HRCT findings were atypical compared with those of former bronchiolitis obliterans (BO) after bone marrow transplant (BMT).,Not ADE-related
26285,Drug-induced lymphocyte transformation test before desensitization was negative with a stimulation index of 130%.,Not ADE-related
26286,"Its mode of anti-inflammatory actions in rheumatoid arthritis is not clearly understood, but modulation of neutrophil activity or inhibition of neutrophil inflammatory product formation or release appear to play a role.",Not ADE-related
26287,"Review of the literature revealed 34 patients received chemotherapy and radiotherapy, 32 patients received chemotherapy alone, 1 patient had only surgery, and the radiation status of the remaining patient is unclear.",Not ADE-related
26288,General anesthesia was induced.,Not ADE-related
26289,"As it was so effective in these eyes with resistant CMO, a larger study is warranted to evaluate this form of therapy.",Not ADE-related
26290,"Although drug-induced allergic nephritis (DIAN) is one of the most common problems seen by nephrologists, its true frequency is probably underestimated.",Not ADE-related
26291,Combination chemotherapy for bone marrow relapse in childhood lymphoblastic leukaemia (ALL).,Not ADE-related
26292,"All three patients (and possibly a fourth) who developed AML were postmenopausal, received continuous chlorambucil for greater than or equal to 4 years, had acute red cell anemia at the time of treatment, and had a wbc count in the range of 2700-7700/mm3.",Not ADE-related
26293,The aerosol administration allows high concentrations of tobramycin to be delivered to the site of infection with limited systemic absorption.,Not ADE-related
26294,A 9-month-old boy with progressive hepatosplenomegaly and neurodevelopmental delay was studied.,Not ADE-related
26295,Further studies are needed to determine the optimal dose and schedule of DMSO application and to assess its efficacy in extravasation injuries from other vesicants.,Not ADE-related
26296,Sequencing studies revealed the presence of mutations in viral isolates obtained after clinical resistance was observed.,Not ADE-related
26297,"Other explanations for an exaggerated and delayed response to opioids include co-administration of other respiratory depressant drugs such as magnesium sulphate, co-morbidity such as renal impairment and genetic variability in the metabolism of morphine.",Not ADE-related
26298,"The syndrome of inappropriate secretion of antidiuretic hormone (SIADH) has numerous etiologies, including medical illness, stress, and various pharmacologic agents.",Not ADE-related
26299,High-strength pancreatic enzymes have recently been implicated as a cause of colonic strictures in children with cystic fibrosis (CF).,Not ADE-related
26300,Despite these measures he appeared to have progressive lymphoma.,Not ADE-related
26301,Progressive outer retinal necrosis is a necrotizing herpetic retinopathy usually seen in immunocompromised patients.,Not ADE-related
26302,Ovarian torsion: a complication of GIFT.,Not ADE-related
26303,All six patients have 6/6 best corrected vision.,Not ADE-related
26304,In-vitro rechallenge of the patient's lymphocytes with cytochrome P-450 generated metabolites of phenobarbital showed extensive cytotoxicity compared to control.,Not ADE-related
26305,A case of successful treatment of antibiotic-associated pseudomembranous colitis with oral metronidazole is reported.,Not ADE-related
26306,"In this study, we outline the case of a patient with Stenotrophomonas maltophilia bacteremia after living donor liver transplantation, which showed the clinical signs of severe sepsis and was resistant to almost all antibiotics.",Not ADE-related
26307,"The skin lesions spread rapidly to most of the body, and ulcers of the ocular and oral mucosa appeared.",Not ADE-related
26308,"CASE SUMMARY: An 84-year-old woman presented to the emergency department with a bilateral cervical hematoma and symptoms of upper-airway obstruction that had been increasing for 72 hours, with dyspnea and difficulty speaking developing in the previous 24 hours.",Not ADE-related
26309,"To our knowledge, neither the association of SINS and ankylosing spondylitis nor vertical diplopia as its presenting complaint has been described.",Not ADE-related
26310,We report 4 patients with involvement of 5 hips with septic arthritis in established osteonecrotic joints.,Not ADE-related
26311,A 36-year-old patient with HIV developed a set of progressive left hemiparesis and secondarily generalized partial seizures related to progressive multifocal leukoencephalopathy.,Not ADE-related
26312,"Significant deteriorations were demonstrated in cognitive (p = 0.04) and social functions (p = 0.04), compared with assessment of pre-morbid function.",Not ADE-related
26313,We report a case of portopulmonary hypertension in which the pulmonary hypertension resolved after initial orthotopic liver transplantation.,Not ADE-related
26314,During admission she was found to be profoundly hypothyroid despite being on adequate thyroid replacement therapy.,Not ADE-related
26315,Noncardiogenic pulmonary edema after transfusion therapy is an infrequent but hazardous complication.,Not ADE-related
26316,Laboratory investigations for uveitis were negative and the patient required systemic and intensive topical steroids with cycloplegics to control the inflammation.,Not ADE-related
26317,Further histologic documentation in other cases is necessary to strengthen our current findings.,Not ADE-related
26318,We encountered two girls with acute promyelocytic leukemia (APL) after living donor partial orthotopic liver transplantation.,Not ADE-related
26319,Resonance Imaging of LS spine showed an and was managed successfully with antibiotics.,Not ADE-related
26320,Flavimonas oryzihabitans (CDC group Ve-2) bacteraemia associated with Hickman catheters.,Not ADE-related
26321,Electron microscopy showed morphological abnormalities in the matrix.,Not ADE-related
26322,We report the first case of a tuberculous cutaneous lesion in a patient receiving the above treatment.,Not ADE-related
26323,A patient with a 30% scald burn was treated with topical silver sulfadiazine (Silvadene).,Not ADE-related
26324,This toxic effect was attributed to lomustine and was not seen in patients treated with carmustine alone.,Not ADE-related
26325,"A transdermal scopolamine patch is an effective medication for relieving motion sickness, treating nausea and vomiting from chemotherapy and decreasing withdrawal side-effects from wearing off opioids.",Not ADE-related
26326,DISCUSSION: Carboplatin is an important chemotherapeutic agent in the treatment of a variety of pediatric brain tumors.,Not ADE-related
26327,"In the presence of risk factors, such as cGVHD, prophylactic treatment for toxoplasmosis should be reinstituted; Trimethoprim-sulfamethoxasole most probably prevented earlier reactivation of toxoplasmosis in our patient.",Not ADE-related
26328,"Interstitial pneumonitis, induced by hormone treatment given for prostate cancer, is a reversible condition and a quick diagnosis followed by prompt, proper treatment is important to ensure a successful recovery.",Not ADE-related
26329,There was evidence of extrarenal vascular disease in 12 patients and preexisting renal impairment in 13.,Not ADE-related
26330,"Full recovery occurred because of early pick up, emphasizing the need for careful fluid balance monitoring of patients receiving cisplatin chemotherapy.",Not ADE-related
26331,Fine-needle aspiration cytology in locally advanced breast adenocarcinoma: a case with complete response to preoperative chemotherapy in association with granulomatous inflammatory reaction.,Not ADE-related
26332,Our experience with donepezil in this group of patients shows promise.,Not ADE-related
26333,"When a 34-year-old woman had dyspnea and chylothorax 8 months postpartum, lymphangiomyomatosis was diagnosed by open-lung biopsy.",Not ADE-related
26334,"The etiology of acute liver dysfunction was unknown, however, we believe that the combination of oral glucocorticoid and lispro insulin was suitable and useful for preventing recurrent liver dysfunction in this patient.",Not ADE-related
26335,Streaky pigmentation in a patient with acquired immune deficiency syndrome (AIDS).,Not ADE-related
26336,This is a report of prolonged meningitis caused by echovirus type 20 in a patient with rhabdomyosarcoma.,Not ADE-related
26337,Resorption of the haematoma was proven by abdominal ultrasonic follow-ups.,Not ADE-related
26338,Histological examination of a skin biopsy was consistent with leucocytoclastic vasculitis.,Not ADE-related
26339,We encountered two cases of acute pancreatitis in patients with Cushing's disease following transnasal transsphenoidal hypophysectomy.,Not ADE-related
26340,"The diagnosis of encephalomyelitis was made on day 3 after methotrexate administration, and by day 6 mechanical ventilation was begun secondary to ascending paralysis.",Not ADE-related
26341,Peripheral blood count revealed pancytopenia and a bone marrow biopsy was consistent with aplasia.,Not ADE-related
26342,Optic nerve sheath fenestration for a reversible optic neuropathy in radiation oncology.,Not ADE-related
26343,"With this case report, we bring to attention the association of the MVI shortage and WE.",Not ADE-related
26344,Quadriplegia due to lead-contaminated opium--case report.,Not ADE-related
26345,"It is essential that perioperative physicians, especially anesthesiologists, understand the risk factors, clinical scenario, and treatment of SS.",Not ADE-related
26346,Glutamine-supplemented tube feedings versus total parenteral nutrition in children receiving intensive chemotherapy.,Not ADE-related
26347,We describe a case of SCC in vitiligo lesion after long-term PUVA therapy.,Not ADE-related
26348,An oral glucose tolerance test showed impaired glucose tolerance with marked insulin resistance.,Not ADE-related
26349,It is proposed that neuroleptic-induced dysphoric responses may be responsible for therapeutic failure in some cases of psychotic depression.,Not ADE-related
26350,"As the list of FMF-associated MEFV mutations is expanded, and/or new sequencing technologies permit more rapid screening, the value and interpretation of genetic testing for FMF will become more straightforward.",Not ADE-related
26351,The patient presented to the emergency department 1 day after discharge from the hospital following total knee arthroplasty revision with acute-onset dyspnea and mild chest pain.,Not ADE-related
26352,The patient was extubated 24 h after her arrival to the ICU and discharged 72 h later.,Not ADE-related
26353,Neonates present with an immature physiology and biochemistry with respect to drug metabolism.,Not ADE-related
26354,Intravenous injection of diazepam caused a rapid normalization of the EEG with disappearance of the clinical manifestations.,Not ADE-related
26355,High-dose tamoxifen was recently reported as a novel treatment for patients with malignant gliomas who have failed standard therapies.,Not ADE-related
26356,Dihydropyrimidine dehydrogenase (DPD) activity was measured by radioisotopic assay using lysates of peripheral blood mononuclear cells.,Not ADE-related
26357,"Although inhibition of the angiotensin-converting enzyme is considered to be efficient treatment for hypertension associated with chronic renal failure, care should be taken when captopril is administered initially to a patient with decreased renal function, under the conditions of sodium and water depletion.",Not ADE-related
26358,"Six patients presented with clinical, biochemical and histological evidence of severe hepatitis after taking herbal remedies.",Not ADE-related
26359,"It is suggested that dopaminergic imbalance, as opposed to excessive dopaminergic blockade, may also play a role in the precipitation of NMS.",Not ADE-related
26360,Seven patients presented with refractory bleeding and 1 was diagnosed with severe coagulopathy unresponsive to the conventional treatment.,Not ADE-related
26361,"His diarrhea, consisting of 10 to 12 loose stools a day, had continued for approximately two weeks and was accompanied with abdominal cramping, fever, anorexia, and weight loss.",Not ADE-related
26362,This case emphasizes the importance of making interventions based on individual patient response.,Not ADE-related
26363,A 75-year-old man on anticoagulant therapy suddenly experienced an excruciating back pain and subsequently developed a paraplegia.,Not ADE-related
26364,A postmortem liver biopsy revealed adenocarcinoma undergoing necrosis.,Not ADE-related
26365,The possible role of AK inhibition in these clinical responses requires further investigation.,Not ADE-related
26366,The tendency to develop AV block in a patient who is euthyroid was reduced by bypass tract conduction.,Not ADE-related
26367,We describe a case that involves fracture of a stent deployed to nominal pressure.,Not ADE-related
26368,"Two months later, he was admitted to hospital with ORTHOPNEA, worsening dyspnea and cough.",Not ADE-related
26369,"During the follow-up period of two months, there was transiently decreased MED to UVB, which became normalized after 1 month treatment with cyclophosphamide.",Not ADE-related
26370,The pacing system was removed in one patient 13 months postoperatively because of persistent pericarditis; one patient died of an unrelated cerebral hemorrhage 13 months postoperatively.,Not ADE-related
26371,Physicians who now routinely treat RLS patients with dopaminergic agents should be aware of this abuse potential.,Not ADE-related
26372,Successful treatment of Staphylococcus aureus bacterial endocarditis in a renal transplant recipient.,Not ADE-related
26373,The apparent low adverse effect profile of the new drug zafirlukast has made it an attractive choice in the treatment of asthma.,Not ADE-related
26374,"During surgery the left internal jugular vein was found to be thrombosed and, therefore, ligated and resected.",Not ADE-related
26375,Endoscopy demonstrated dimpling of the gastric mucosa on the anterior wall of the stomach.,Not ADE-related
26376,1 previously untreated patient with plasma-cell leukaemia and 8 patients with myeloma (4 previously untreated) were treated with high-dose melphalan 100-140 mg/m2 iv.,Not ADE-related
26377,"Child-Pugh class A liver function and a platelet count of > or = 60,000/mm(3) were among the inclusion criteria for SHARP.",Not ADE-related
26378,Intravenous azithromycin is increasingly administered for treatment of hospitalized patients with community-acquired pneumonia.,Not ADE-related
26379,The lesions were lichenoid in appearance and this was confirmed histologically.,Not ADE-related
26380,"He had an extensive psychiatric history significant for schizophrenia and multiple past hospital admissions, starting at age 14 years.",Not ADE-related
26381,"The diagnostic pitfalls are discussed with the case, and the need for careful interpretation of laboratory findings in conjunction with clinical signs is emphasized.",Not ADE-related
26382,"We speculated that SLE associated with systemic vasculitis and uremic milieu over a number of years may represent the perfect preexisting condition for calcific arteriolopathy to occur following which several factors including chronic administration of corticosteroids, photosensitivity in lupus, and significant weight loss may have contributed to acral gangrene and mesenteric ischemia.",Not ADE-related
26383,These patients all underwent further evaluation of their pulmonary and allergic history and all 3 were challenged with aspirin.,Not ADE-related
26384,In view of the temporary symptomatic action and the seriousness of certain side-effects of desmopressin we recommend that desmopressin be used with caution in childhood enuresis.,Not ADE-related
26385,"In the case of foul drainage, burn reconstruction would be delayed.",Not ADE-related
26386,Specimens of thyroid tissue from two cases with Hashimoto's thyroiditis were immunohistochemically examined for expression of SSTR2A.,Not ADE-related
26387,Calotropis procera (ushaar) keratitis.,Not ADE-related
26388,Fatal long-term immunosuppressive therapy with uncontrolled repeat prescription.,Not ADE-related
26389,Phenytoin desensitization monitored by antigen specific T cell response using carboxyfluorescein succinimidyl ester dilution assay.,Not ADE-related
26390,Pain partially responsive to opioids can lead to rapid escalating dosages due to tolerance development.,Not ADE-related
26391,"Two underwent shunt revision for proximal obstruction, with an intact distal system.",Not ADE-related
26392,The case of a 19-year-old woman with insulin-dependent diabetes and regular and NPH insulin hypersensitivity is presented.,Not ADE-related
26393,"Six months following cessation of therapy, the ERG was still abnormal for one patient, but continued improvement was evident at 25 months; for the second patient, the ERG was normal at one year.",Not ADE-related
26394,"Severe allergic reactions, although uncommon, have been reported.",Not ADE-related
26395,No neurological deficit was detected despite prolonged hypoxemia.,Not ADE-related
26396,The combination of sulfadiazine and pyrimethamine is regarded as the treatment of choice.,Not ADE-related
26397,Elimination rates for Staphylococcus aureus and Haemophilus influenzae were similar; adverse reactions did not differ in both arms.,Not ADE-related
26398,"Many therapeutic modalities are available, and combinations may be required in a comprehensive treatment program.",Not ADE-related
26399,Examination revealed a combined restrictive and obstructive defect in pulmonary mechanics and severe compromise of gas transfer across the pulmonary alveolar-capillary membrane.,Not ADE-related
26400,An associated finding included a 2+ positive antinuclear antibody test with a titer of 1:320.,Not ADE-related
26401,"CONCLUSION: A high level of suspicion, prompt antituberculosis treatment and close follow-up are essential in management of post-transplant tuberculosis.",Not ADE-related
26402,"After initial stabilization, the patient was discharged with warfarin (target INR = 2.5-3.5) together with beta-blockers, statins and metformin.",Not ADE-related
26403,"Blood glucose levels, which were normal before treatment, dropped to 2.3 mmol/l within a few hours and were corrected by i.v. glucose infusion.",Not ADE-related
26404,The need for professional support for the carers of such patients should be recognized.,Not ADE-related
26405,"In the end, secondary forms of NH might coexist with classical primary NH.",Not ADE-related
26406,"METHODS: All admission records and operative reports, as well as available office notes, on patients with blebitis or bleb-associated endophthalmitis admitted to a large referral eye center from 1985 to 1995 were reviewed retrospectively.",Not ADE-related
26407,Venous thrombosis and congenital absence of inferior vena cava in a patient with menorrhagia and pelvic pain.,Not ADE-related
26408,"CONCLUSION: Despite extremely delayed presentation, aggressive CDT was successful in both breast, and head and neck reconstructions with excellent long-term flap results.",Not ADE-related
26409,"Severe chronic active Epstein-Barr virus infection is a rare, debilitating, nonneoplastic, inflammatory disorder for which there is no definitive treatment.",Not ADE-related
26410,"Simultaneously with the clomipramine dosage increase, clozapine was tapered and stopped ever a period of 19 days.",Not ADE-related
26411,Her course was further complicated by exudative pleural effusion and pneumonia despite receiving 10 days of clindamycin therapy.,Not ADE-related
26412,We believe that a pharmacodynamic interaction is most likely.,Not ADE-related
26413,History revealed that the patient had taken a combination phenolphthalein/docusate sodium (Correctol) over-the-counter laxative 1 day prior to admission.,Not ADE-related
26414,"The proportions of lymphocyte subsets, as defined with monoclonal antibodies, and the proliferative response to mitogens were normal.",Not ADE-related
26415,"Furthermore, this case suggested that correct nonsurgical diagnosis of pelvic actinomycosis followed by prolonged antibiotic therapy might eliminate the need for extensive extirpative surgery and assist in maintaining future fertility.",Not ADE-related
26416,"When he was given an inferior alveolar nerve block, excessive bleeding was noted at the injection site and the dentist advised the patient see an oral and maxillofacial surgeon.",Not ADE-related
26417,"The in vitro susceptibility assay showed that the clinical isolate was resistant to foscarnet, moderately resistant to ganciclovir, but sensitive to cidofovir.",Not ADE-related
26418,PURPOSE: To describe a patient with iatrogenically induced central retinal vein occlusions secondary to serum hyperviscosity from intravenous immunoglobulin administration.,Not ADE-related
26419,"Pancytopenia is a rare complication of the thionamide therapy reported secondary to aplastic anemia, the bone marrow being invariably hypocellular.",Not ADE-related
26420,It should be noted that such an infection can occur in patients treated with conventional chemotherapy against malignant lymphoma.,Not ADE-related
26421,Immunoprecipitation and Western blot analysis were then used to demonstrate that the aberrant DPD mRNA is translated into a nonfunctional DPD protein that is ubiquitinated.,Not ADE-related
26422,DESIGN: Retrospective interventional case series.,Not ADE-related
26423,"Because treatment has focused mainly on supportive care and generally unsuccessful immunosuppression, children with BO experience significant morbidity and mortality.",Not ADE-related
26424,"Infliximab, a chimeric monoclonal antibody targeting tumor necrosis factor alpha (TNF-alpha), is efficacious in the treatment of rheumatoid arthritis and Crohn's disease.",Not ADE-related
26425,The postoperative course was uneventful and topical steroids were combined with neomycin and propamidine.,Not ADE-related
26426,We compared the serum laboratory values and liver biopsy findings from group 1 with those from 10 patients with sporadic autoimmune hepatitis (group 2).,Not ADE-related
26427,Ivermectin has been shown to be an effective treatment of loiasis.,Not ADE-related
26428,A 43-year-old patient with preexisting mitral valve prolapse and Cardiobacterium hominis endocarditis with partial destruction of the posterior mitral valve leaflet is described.,Not ADE-related
26429,The corn oil-based soft gelatin capsule appears to be the safest formulation.,Not ADE-related
26430,"A 28-year-old female patient complained of intractable pain in the left arm, shoulder, and back and weakness, numbness, and muscular cramp in the left arm.",Not ADE-related
26431,"Published 2001 Wiley-Liss, Inc.",Not ADE-related
26432,Candida parapsilosis was the causative agent.,Not ADE-related
26433,This case highlights the importance of muscle biopsy in HIV infected patients whose myopathy persists despite withdrawal of antiretroviral therapy and the need for thorough investigation of non-specific symptoms in HIV infected patients who are receiving antiretroviral therapy.,Not ADE-related
26434,It is likely that her inability to excrete absorbed aluminum contributed to her death.,Not ADE-related
26435,Analeptic-induced paranoid psychosis occasionally occurs in the treatment of narcolepsy.,Not ADE-related
26436,"Overall, the prevalence of patients lacking both lipodystrophy and serum lipid abnormalities was markedly higher for the cases than for the controls (69.5 vs. 13%, P<0.001).",Not ADE-related
26437,"We analyze a case of neutropenic enterocolitis which occurred in a patient with acute myeloid leukemia during chemotherapy and we suggest that, as well as intestinal wall thickness, hemodynamic worsening should be considered an indication for surgery.",Not ADE-related
26438,CONCLUSION: Most GHD patients have intact posterior pituitary function.,Not ADE-related
26439,BACKGROUND: Nocardia exalbida was first reported in 2006.,Not ADE-related
26440,The patient's methemoglobin level was 63%.,Not ADE-related
26441,Other mechanisms have been postulated by other investigators.,Not ADE-related
26442,Clinical and pathological responses of tumor and the side-effects were examined in these two groups.,Not ADE-related
26443,"Estramustine is a combination of estradiol and nitrogen mustard, and alone has shown objective responses in advanced prostatic cancer.",Not ADE-related
26444,"The incidence of pulmonary nodules after cardiac transplantation is not uncommon, and prompt diagnostic procedures are necessary to minimize disease-related morbidity and mortality.",Not ADE-related
26445,"Also, transcranial Doppler revealed approximate doubling of blood flow velocity in vertebral artery area compared with her baseline value.",Not ADE-related
26446,"After the switch to aripiprazole, the patient's psychotic condition improved.",Not ADE-related
26447,Two probands had borderline mutations; the rest were normal.,Not ADE-related
26448,Only one prior case has been reported in a patient receiving aggressive chemotherapy for a hematologic malignancy.,Not ADE-related
26449,Possible mechanisms underlying her response to this form of treatment are discussed.,Not ADE-related
26450,A serum chloroquine concentration at this time (91 micro g/L) was above that considered effective for chloroquine-sensitive P. vivax (>15 micro g/L).,Not ADE-related
26451,Bilateral vocal cord paralysis was seen on laryngoscopy.,Not ADE-related
26452,Pulmonary thromboembolism following total laryngectomy and neck dissection: a case report.,Not ADE-related
26453,Toxic symptoms (sinus arrest) reappeared twice and were accompanied by increasing amounts of non-antibody-bound DGTX in the serum.,Not ADE-related
26454,"In addition to resuming her opioid therapy, she was treated supportively with bilevel positive airway pressure, diuretic therapy, morphine, aspirin, metoprolol, enalaprilat, intravenous heparin, nitroglycerin infusion, and dopamine infusion.",Not ADE-related
26455,OBJECTIVE: To present a previously unreported cause of neurologic compromise after cervical spine surgery.,Not ADE-related
26456,"RESULTS: A 33-year-old man with extensive ophthalmologic complaints and procedures, who had used glucocorticoid ocular drops for an extended period, was referred to the endocrinologist for new onset of type 2 diabetes mellitus.",Not ADE-related
26457,"If neovascularization occurred at the site of the anastomosis, intravitreal bevacizumab (1.25 mg) was injected followed by laser photocoagulation to areas of retinal ischaemia and the area of retina anterior to the L-CRA 1 week later.",Not ADE-related
26458,These cases are discussed in the context of evidence that lithium may be useful in other patients with disorders of impulse control.,Not ADE-related
26459,Both patients made an uneventful recovery.,Not ADE-related
26460,"BACKGROUND: Post-allogeneic haematopoietic stem cell transplantation (HSCT) membranous nephropathy (MN), a rare complication of HSCT, remains an ill-defined entity.",Not ADE-related
26461,Maintenance tricyclic antidepressants induced rapid cycling between mania and depression in five female bipolar (manic-depressive) patients.,Not ADE-related
26462,Myoclonus is a well-known side effect of anticonvulsant drugs.,Not ADE-related
26463,We conclude that a combination of cytokines may be useful in treating relapsed leukemia after BMT.,Not ADE-related
26464,"He was treated by the administration of vancomycin, fluconazole, and pazufloxacin mesilate.",Not ADE-related
26465,"Therefore, patients on long-term therapy with atypical antipsychotic drugs should be screened periodically for TD.",Not ADE-related
26466,"Laser-Doppler flowmetry on the toe of the left foot disclosed an increased blood flow and an abnormal fluctuation of the cutaneous capillary blood flow, i.e. a high amplitude rhythmic (HAR) wave with 2.5 to 3 cycles.min-1.",Not ADE-related
26467,Antibodies for HIT by enzyme-linked immunosorbent assay were positive.,Not ADE-related
26468,"Recurrent erythema multiforme is a rare disorder, clinically characterized by symmetrically distributed, erythematous, and bullous skin and mucous lesions, mainly precipitated by a preceding herpes simplex infection.",Not ADE-related
26469,"Though the voluntary recall was in effect, the family already had a bottle of the medication at home.",Not ADE-related
26470,This case suggests that chemotherapy with its attendant immunosuppression is a predisposing factor in the development of necrotizing fasciitis and warrants a high index of suspicion.,Not ADE-related
26471,"Auditory damage may be reduced by changes in dose, drugs or methods of treatment.",Not ADE-related
26472,"Nonopioid analgesics did not relieve her pain, and she was unable to walk without the aid of a walker.",Not ADE-related
26473,"Mitral valve prolapse is usually a benign condition, however, serious complications have been reported to be associated with it.",Not ADE-related
26474,Giant blastoconidia of Candida albicans.,Not ADE-related
26475,This isolate was lost in storage and could not be characterized further.,Not ADE-related
26476,Eosinophil infiltration is a characteristic feature of nasal polyps associated with AIA.,Not ADE-related
26477,A preclinical study in rats treated with TKI showed a statistically significant increase in benign and malignant renal tumours.,Not ADE-related
26478,"Interestingly, the patient's mother had also experienced a generalised pustular dermatosis associated with hypocalcaemia during oral contraceptive use, which was diagnosed clinically and histologically as impetigo herpetiformis.",Not ADE-related
26479,"However, both patients had abnormally large epidural fat deposits as an underlying and contributing condition.",Not ADE-related
26480,A case report is presented of a bulimic patient with manic symptoms who was successfully treated with lithium.,Not ADE-related
26481,"Despite premedication with dexamethasone prior to a second attempt at therapy, she again experienced similar symptoms after receiving 500 mL (78 mg) of cisplatin solution.",Not ADE-related
